"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Vlatko Čančar","7.96","SF","DEN","DAL","11.1","3,500","2.28","-9.54"
"Montrezl Harrell","7.91","C","PHI","MIL","8.2","3,900","2.03","-11.59"
"Devonte' Graham","7.87","PG","NOP","BOS","10.6","3,800","2.07","-11.13"
"Garrison Mathews","7.74","SF","HOU","IND","11.5","3,500","2.21","-9.76"
"Josh Okogie","7.60","SF/SG","PHX","UTA","10.6","3,500","2.17","-9.90"
"R.J. Hampton","7.18","PG/SG","ORL","CHI","9.7","4,100","1.75","-13.32"
"JaVale McGee","6.91","C","DAL","DEN","5.8","3,500","1.97","-10.59"
"Serge Ibaka","6.77","PF/C","MIL","PHI","8.3","3,800","1.78","-12.23"
"Facundo Campazzo","6.51","PG","DAL","DEN","7.9","3,500","1.86","-10.99"
"Kendrick Nunn","6.51","SG/PG","LAL","DET","7.3","3,800","1.71","-12.49"
"Payton Pritchard","6.39","PG/SG","BOS","NOP","7.3","4,100","1.56","-14.11"
"Simone Fontecchio","6.25","SF","UTA","PHX","9.7","3,500","1.79","-11.25"
"Isaac Okoro","6.12","SF/SG","CLE","CHA","11.8","3,700","1.65","-12.38"
"Cory Joseph","5.47","PG","DET","LAL","6.7","3,500","1.56","-12.03"
"Jaylin Williams","5.44","PF","OKC","MEM","7.5","3,500","1.55","-12.06"
"Dario Šarić","4.80","PF","PHX","UTA","5.2","3,800","1.26","-14.20"
"Blake Griffin","4.62","PF/C","BOS","NOP","5.3","3,500","1.32","-12.88"
"Admiral Schofield","4.04","SF","ORL","CHI","6.5","3,500","1.16","-13.46"
"Bismack Biyombo","3.44","C","PHX","UTA","3.3","4,300","0.80","-18.06"
,"3.29","SF","DAL","DEN","4.9","3,500","0.94","-14.21"
"Moses Moody","3.22","SG","GSW","NYK","4.6","3,800","0.85","-15.78"
"Evan Fournier","2.82","SG/SF","NYK","GSW","3.6","3,600","0.78","-15.18"
"JT Thor","2.78","PF","CHA","CLE","3.9","3,500","0.79","-14.72"
"Boban Marjanović","2.49","C","HOU","IND","1.9","3,500","0.71","-15.01"
"Dewayne Dedmon","2.05","C","MIA","WAS","1.7","3,800","0.54","-16.95"
"Goga Bitadze","1.93","C","IND","HOU","1.7","4,100","0.47","-18.57"
"Damian Jones","1.93","C","LAL","DET","1.7","3,900","0.49","-17.57"
"Tony Bradley","1.92","PF/C","CHI","ORL","1.9","3,500","0.55","-15.58"
